 frequency       v(finalp,finaln) v(finalp,finaln) v(v1p,v1n)      v(v1p,v1n)      v(vga1p,vga1n)  v(vga1p,vga1n)  v(v2p,v2n)      v(v2p,v2n)      v(vga2p,vga2n)  v(vga2p,vga2n)  v(bufinp,bufinn) v(bufinp,bufinn) v(outp,outn)    v(outp,outn)   
 1.00000000e+06 -7.93249313e+02  7.89749756e+02 -1.92112290e+02 -1.92424740e+02  3.48926274e+02  3.48018983e+02 -2.27817098e-01  3.45164408e+02 -1.06004486e+00 -7.31142225e+02  3.61283182e+02 -3.59671498e+02 -7.93517230e+02  7.90012537e+02 
 1.02329299e+06 -7.92133496e+02  8.45078528e+02 -1.96542785e+02 -1.92380934e+02  3.56938545e+02  3.47905843e+02  7.89682477e+00  3.53028243e+02 -1.83039079e+01 -7.47726984e+02  3.60775845e+02 -3.84870015e+02 -7.92401227e+02  8.45359815e+02 
 1.04712855e+06 -7.88391015e+02  9.01527591e+02 -2.00968934e+02 -1.92235229e+02  3.64941399e+02  3.47608492e+02  1.63787253e+01  3.60688774e+02 -3.63009964e+01 -7.63878012e+02  3.59072279e+02 -4.10578781e+02 -7.88657690e+02  9.01827765e+02 
 1.07151931e+06 -7.81922350e+02  9.58936525e+02 -2.05386061e+02 -1.91988007e+02  3.72926389e+02  3.47127713e+02  2.52072204e+01  3.68125790e+02 -5.50284799e+01 -7.79552722e+02  3.56127158e+02 -4.36724735e+02 -7.82187065e+02  9.59255914e+02 
 1.09647820e+06 -7.72640841e+02  1.01713563e+03 -2.09789529e+02 -1.91639920e+02  3.80885144e+02  3.46464772e+02  3.43701919e+01  3.75319827e+02 -7.44604657e+01 -7.94710123e+02  3.51901015e+02 -4.63230598e+02 -7.72902664e+02  1.01747451e+03 
 1.12201845e+06 -7.60473633e+02  1.07594722e+03 -2.14174757e+02 -1.91191882e+02  3.88809402e+02  3.45621409e+02  4.38541357e+01  3.82252286e+02 -9.45681468e+01 -8.09311088e+02  3.46360668e+02 -4.90015439e+02 -7.60731608e+02  1.07630580e+03 
 1.14815362e+06 -7.45362465e+02  1.13518691e+03 -2.18537240e+02 -1.90645064e+02  3.96691045e+02  3.44599826e+02  5.36442426e+01  3.88905554e+02 -1.15319974e+02 -8.23318588e+02  3.39479583e+02 -5.16995300e+02 -7.45615614e+02  1.13556535e+03 
 1.17489755e+06 -7.27264302e+02  1.19466517e+03 -2.22872571e+02 -1.90000887e+02  4.04522133e+02  3.43402672e+02  6.37244906e+01  3.95263110e+02 -1.36681854e+02 -8.36697922e+02  3.31238160e+02 -5.44083853e+02 -7.27511635e+02  1.19506355e+03 
 1.20226443e+06 -7.06151806e+02  1.25418874e+03 -2.27176449e+02 -1.89261011e+02  4.12294933e+02  3.42033031e+02  7.40777460e+01  4.01309618e+02 -1.58617364e+02 -8.49416915e+02  3.21623946e+02 -5.71193088e+02 -7.06392322e+02  1.25460708e+03 
 1.23026877e+06 -6.82013621e+02  1.31356222e+03 -2.31444708e+02 -1.88427327e+02  4.20001950e+02  3.40494396e+02  8.46858741e+01  4.07031016e+02 -1.81087988e+02 -8.61446101e+02  3.10631769e+02 -5.98234021e+02 -6.82246315e+02  1.31400050e+03 
 1.25892541e+06 -6.54854490e+02  1.37258967e+03 -2.35673320e+02 -1.87501947e+02  4.27635953e+02  3.38790655e+02  9.55298569e+01  4.12414590e+02 -2.04053364e+02 -8.72758869e+02  2.98263787e+02 -6.25117408e+02 -6.55078359e+02  1.37304777e+03 
 1.28824955e+06 -6.24695189e+02  1.43107611e+03 -2.39858417e+02 -1.86487184e+02  4.35190001e+02  3.36926061e+02  1.06589916e+02  4.17449029e+02 -2.27471551e+02 -8.83331598e+02  2.84529460e+02 -6.51754459e+02 -6.24909236e+02  1.43155387e+03 
 1.31825674e+06 -5.91572290e+02  1.48882911e+03 -2.43996301e+02 -1.85385549e+02  4.42657465e+02  3.34905213e+02  1.17845641e+02  4.22124482e+02 -2.51299294e+02 -8.93143744e+02  2.69445444e+02 -6.78057535e+02 -5.91775531e+02  1.48932630e+03 
 1.34896288e+06 -5.55537757e+02  1.54566027e+03 -2.48083458e+02 -1.84199725e+02  4.50032047e+02  3.32733022e+02  1.29276118e+02  4.26432582e+02 -2.75492302e+02 -9.02177922e+02  2.53035402e+02 -7.03940831e+02 -5.55729223e+02  1.54617658e+03 
